KPD 2025.,,
Šifra,Naziv,
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA",
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima",
08.11.50,"Lomljeni ili drobljeni kamen, kameni granulat, odlomci i prah",,,,,
08.12,"Šljunak, pijesak, glina i kaolin",,,,,
08.12.1,Šljunak i pijesak,,,,,
08.12.11,Silikatni i kremeni pijesak,,,,,
08.12.12,Ostali prirodni pijesak,,,,,
08.12.13,Obluci i šljunak,,,,,
08.12.14,"Mješavine troske i sličnih industrijskih otpadaka, bez obzira sadržavaju li ili ne sadržavaju oblutke, šljunak, krupne bjelutke i kremen za uporabu u građevinarstvu",,,,,
08.12.2,Glina i kaolin,,,,,
08.12.21,Kaolin i ostala kaolinska glina,,,,,
08.12.22,"Ostala glina, andaluzit, cijanit i silimanit; mulit; šamotne i dinas zemlje",,,,,
08.9,"Proizvodi rudarstva i vađenja, d. n.",,,,,
08.91,Minerali za kemikalije i gnojiva,,,,,
08.91.0,Minerali za kemikalije i gnojiva,,,,,
08.91.01,Prirodni kalcijevi i aluminij-kalcijevi fosfati,,,,,
08.91.02,Neprženi željezni piriti; sirovi ili nerafinirani sumpor,,,,,
08.91.09,"Minerali za kemikalije i gnojiva, d. n.",,,,,
08.92,Treset,,,,,
08.92.0,Treset,,,,,
08.92.00,Treset,,,,,
08.93,Sol i čisti natrijev klorid; morska voda,,,,,
08.93.0,Sol i čisti natrijev klorid; morska voda,,,,,
08.93.00,Sol i čisti natrijev klorid; morska voda,,,,,
08.99,"Ostali proizvodi rudarstva i vađenja, d. n.",,,,,
08.99.1,Prirodni bitumen i asfalt; asfaltiti i asfaltne stijene,,,,,
08.99.10,Prirodni bitumen i asfalt; asfaltiti i asfaltne stijene,,,,,
08.99.2,"Drago i poludrago kamenje; industrijski dijamanti, neobrađeni ili jednostavno otpiljeni, rasječeni ili grubo brušeni; plovućac; sitnozrnati korund; prirodni korund, prirodni granat i ostali prirodni abrazivi; ostali minerali",,,,,
08.99.21,"Drago i poludrago kamenje, neobrađeno, jednostavno otpiljeno ili grubo oblikovano",,,,,
08.99.22,"Industrijski dijamanti, neobrađeni ili jednostavno otpiljeni, rasječeni ili grubo brušeni; plovućac; sitnozrnati korund; prirodni korund, prirodni granat i ostali prirodni abrazivi",,,,,
08.99.23,Ostali minerali,,,,,
09,Pomoćne usluge u rudarstvu,,,,,
